Name,SKU,Price,Description,Characteristics,hrefs,url
"ТСУ /тип А/ горяч.оцинк./ LADA ""4х4 2121"", 2131 1995-",Арт. LNI-95-991528.00,8 050 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля LADA  ""4X4 2121"", 2131 1995-  полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'LADA', 'Модель авто': '4x4 (2121), 4x4 (2131)', 'Габариты': '130 х 13 х 30 см ', 'Объем в упаковке': '0,050  м³', 'Вес': '15 кг ', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1900 кг', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/000/5q002ii4jbr6y3vs2qubfg9p5nxv33v3.pdf', 'https://ptuning.ru/upload/iblock/622/86ipen7gowmrvqjveks9r8ksqpkg6vt1.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_lada_4x4_2121_2131_1995/
ТСУ /тип А/ горяч.оцинк./ Lada Vesta 2023-/ Vesta SW/ Vesta SW Cross 2023-,Арт. LVE-23-991528.00,8 390 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля Lada Vesta / Vesta SW / Vesta SW Cross 2023-  полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'LADA', 'Модель авто': 'VESTA, VESTA SW, VESTA SW CROSS', 'Габариты': '116 х 36.5 х 28.6 см', 'Объем в упаковке': '0,121 м³', 'Вес': '15.1 кг', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/759/t0eu7pdp0c2iiq3dhpz0bdswv60b9roi.pdf', 'https://ptuning.ru/upload/iblock/b8b/h3of43a4dda8dl2kcvwr0tgq5j9q9209.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_lada_vesta_2023_/
ТСУ /тип А/ горяч.оцинк./ CHEVROLET Niva 2009-20/LADA Niva 2020-/LADA NIVA Travel 2021-,Арт. LNT-09-991528.00,6 890 руб.,,"{'Производитель': 'PT GROUP', 'Марка авто': 'CHEVROLET, LADA', 'Модель авто': 'NIVA, NIVA TRAVEL', 'Габариты': '117 х 20 х 23 см ', 'Объем в упаковке': '0,053 м³', 'Вес': '15 кг', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/29b/gprrc6kkds91xr48bm2movs1b5ywyghb.pdf', 'https://ptuning.ru/upload/iblock/d03/6tug4unugidntskyn8z8zelogydct425.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_chevrolet_niva_2009_20_lada_niva_2020_lada_niva_travel_2021/
ТСУ /съемный квадрат/ LADA Vesta / Vesta SW/ Vesta SW Cross 2023-,Арт. LVE-23-991122.00,9 550 руб.,"Тягово-сцепное устройство (фаркоп) со съемным квадратом для легкового автомобиля Lada Vesta/ Vesta SW/ Vesta SW Cross 2023-  служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, установка которых осуществляется в выполненные автопроизводителем отверстия (без дополнительного сверления силовых элементов), что позволяет оптимально распределить нагрузку на кузов автомобиля","{'Производитель': 'PT GROUP', 'Марка авто': 'LADA', 'Модель авто': 'VESTA, VESTA SW, VESTA SW CROSS', 'Габариты': '83 х 32 х 27 см', 'Объем в упаковке': '0,071  м³', 'Вес': '17 кг ', 'Материал': 'Сталь с полимерной порошковой краской', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг', 'Гарантия': '12 месяцев', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'E'}","['https://ptuning.ru/upload/iblock/4f1/v5qx6bwb8nsood6mfn1jnnvz7ctdyzrq.pdf', 'https://ptuning.ru/upload/iblock/327/l96qc2v8ji98hdnq5czfuvzivh5sfqpz.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_semnyy_kvadrat_lada_vesta_2023/
ТСУ / тип А/ горяч.оцинк./ Toyota Corolla 2007-2019,Арт. TCL-07-991528.00,6 850 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля Toyota Corolla 2007-2019-  полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'TOYOTA', 'Модель авто': 'Corolla', 'Габариты': '80 х 24 х 20 см', 'Объем в упаковке': '0,038  м³', 'Вес': '14 кг', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Необходима', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/7aa/ao7xiya300zzgbd34sxl2v61wc2uslnv.pdf', 'https://ptuning.ru/upload/iblock/64d/dvbovpcni3n00npog9wv6lxzawpmujm1.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_toyota_corolla_2007_2019_/
ТСУ / тип А/ горяч.оцинк./HYUNDAI SOLARIS 2010-2017 / KIA RIO III седан 2011-2017/ KIA RIO III хетчбек,Арт. HSO-10-991528.00,8 090 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля HYUNDAI SOLARIS 2010-2017/KIA RIO III седан 2011-2017/ KIA RIO III хетчбек полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'HYUNDAI, KIA', 'Модель авто': 'RIO, SOLARIS', 'Габариты': '120 x 51 x 23 см', 'Объем в упаковке': '0,138 м³', 'Вес': '16 кг ', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1400 кг ', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Необходима', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/a7e/zdxc0lnv9mjlguqzt58c6d6epqe2op3o.pdf', 'https://ptuning.ru/upload/iblock/471/z8b11tqda7t6cwot0a5gw8roj5abcw0u.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_hyundai_solaris_2010_2017_kia_rio_iii_sedan_2011_2017_kia_rio_iii_khetchbek/
ТСУ / тип А/ горяч.оцинк/ LADA Largus 2012-,Арт. LLA-12-991528.00,9 250 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля LADA Largus 2012-  полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'LADA', 'Модель авто': 'LARGUS', 'Габариты': '110 x 81 x 31 см ', 'Объем в упаковке': '0,27 м³', 'Вес': '17,8 кг', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1400 кг', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/69d/c351j88ht8ca502o8lpkvdjr9d4dzo7d.pdf', 'https://ptuning.ru/upload/iblock/2b6/l68mguax5o4sqot2k9igtz51rscph89s.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_lada_largus_2012/
ТСУ / тип А/ горяч.оцинк/ RENAULT Logan 2014-/ Logan Stepway 2018 -,Арт. RLO-14-991528.00,8 390 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля RENAULT Logan 2014-/ Logan Stepway 2018 - полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'RENAULT', 'Модель авто': 'LOGAN NEW, Logan Stepway', 'Габариты': '104 x 71 x 29 см', 'Объем в упаковке': '0,22 м3', 'Вес': '17 кг', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг ', 'Гарантия': '24 месяца ', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/45d/wakm18kxr2qe89z728j1a3ihw9g3hjmn.pdf', 'https://ptuning.ru/upload/iblock/4c0/rxsc57vaqyfw1gy6xe1w8dvd3ybqd2gy.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_renault_logan_2014_logan_stepway_2018_/
ТСУ /тип А/ горяч.оцинк / LADA Vesta / Vesta SW / Vesta SW Cross 2017- 2022,Арт. LVE-17-991528.00,8 390 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля LADA Vesta / Vesta SW / Vesta SW Cross полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'LADA', 'Модель авто': 'VESTA, VESTA SW, VESTA SW CROSS', 'Габариты': '118 x 73 x 29 см', 'Объем в упаковке': '0,25 м3', 'Вес': '17,5 кг', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/689/mmtfem2cfgzdnfgjxm20bma7ry7kavyt.pdf', 'https://ptuning.ru/upload/iblock/431/e6dwnjhrveippdneogj0459vlimck9xs.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_lada_vesta_vesta_sw_vesta_sw_cross_2017_2022/
ТСУ/ тип А/ горяч.оцинк./ VOLKSWAGEN POLO V 2010-2022 / SKODA RAPID 2012-,Арт. VPO-10-991528.00,7 500 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля  VOLKSWAGEN POLO V 2010-2022 / SKODA RAPID 2012- полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'SKODA, VOLKSWAGEN', 'Модель авто': 'POLO, RAPID', 'Габариты': '104 x 61 x 20 см', 'Объем в упаковке': '0,13 м3', 'Вес': '13,3 кг', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1400 кг', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Необходима', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/995/l8vzv0j3fdziw67rq6jjz1h8evn45t9i.pdf', 'https://ptuning.ru/upload/iblock/6f5/jpusdw6tbkeddedzab10jximg62rbbq6.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_volkswagen_polo_v_2010/
